epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1659731173153,2022-08-05T15.26.13.153,0.000,-0.061,0.991,0.036
1659731173163,2022-08-05T15.26.13.163,0.010,-0.063,0.998,0.039
1659731173173,2022-08-05T15.26.13.173,0.020,-0.063,0.998,0.040
1659731173184,2022-08-05T15.26.13.184,0.031,-0.063,0.999,0.041
1659731173194,2022-08-05T15.26.13.194,0.041,-0.062,0.998,0.042
1659731173203,2022-08-05T15.26.13.203,0.050,-0.061,0.997,0.037
1659731173213,2022-08-05T15.26.13.213,0.060,-0.062,0.996,0.038
1659731173223,2022-08-05T15.26.13.223,0.070,-0.062,0.999,0.035
1659731173233,2022-08-05T15.26.13.233,0.080,-0.060,0.998,0.036
1659731173244,2022-08-05T15.26.13.244,0.091,-0.058,0.998,0.037
1659731173253,2022-08-05T15.26.13.253,0.100,-0.057,0.997,0.039
1659731173263,2022-08-05T15.26.13.263,0.110,-0.060,0.997,0.038
1659731173273,2022-08-05T15.26.13.273,0.120,-0.062,0.999,0.035
1659731173283,2022-08-05T15.26.13.283,0.130,-0.062,1.001,0.037
1659731173294,2022-08-05T15.26.13.294,0.141,-0.064,0.997,0.036
1659731173302,2022-08-05T15.26.13.302,0.149,-0.064,0.999,0.041
1659731173313,2022-08-05T15.26.13.313,0.160,-0.060,0.999,0.040
1659731173323,2022-08-05T15.26.13.323,0.170,-0.059,0.998,0.040
1659731173333,2022-08-05T15.26.13.333,0.180,-0.060,0.997,0.041
1659731173343,2022-08-05T15.26.13.343,0.190,-0.062,0.998,0.039
1659731173352,2022-08-05T15.26.13.352,0.199,-0.064,0.999,0.038
1659731173362,2022-08-05T15.26.13.362,0.209,-0.063,0.998,0.040
1659731173373,2022-08-05T15.26.13.373,0.220,-0.063,0.998,0.041
1659731173383,2022-08-05T15.26.13.383,0.230,-0.066,0.997,0.041
1659731173393,2022-08-05T15.26.13.393,0.240,-0.066,0.998,0.037
1659731173403,2022-08-05T15.26.13.403,0.250,-0.064,1.001,0.034
1659731173412,2022-08-05T15.26.13.412,0.259,-0.067,0.998,0.035
1659731173422,2022-08-05T15.26.13.422,0.269,-0.063,1.000,0.035
1659731173433,2022-08-05T15.26.13.433,0.280,-0.062,0.998,0.037
1659731173443,2022-08-05T15.26.13.443,0.290,-0.062,0.998,0.038
1659731173453,2022-08-05T15.26.13.453,0.300,-0.063,0.997,0.039
1659731173462,2022-08-05T15.26.13.462,0.309,-0.065,0.997,0.040
1659731173472,2022-08-05T15.26.13.472,0.319,-0.063,0.997,0.040
1659731173483,2022-08-05T15.26.13.483,0.330,-0.062,0.997,0.037
1659731173493,2022-08-05T15.26.13.493,0.340,-0.067,0.998,0.036
1659731173503,2022-08-05T15.26.13.503,0.350,-0.064,0.997,0.039
1659731173512,2022-08-05T15.26.13.512,0.359,-0.064,0.996,0.041
1659731173522,2022-08-05T15.26.13.522,0.369,-0.064,0.996,0.040
1659731173532,2022-08-05T15.26.13.532,0.379,-0.066,0.999,0.041
1659731173543,2022-08-05T15.26.13.543,0.390,-0.068,0.998,0.040
1659731173553,2022-08-05T15.26.13.553,0.400,-0.065,1.000,0.036
1659731173563,2022-08-05T15.26.13.563,0.410,-0.062,0.999,0.036
1659731173572,2022-08-05T15.26.13.572,0.419,-0.060,0.994,0.040
1659731173582,2022-08-05T15.26.13.582,0.429,-0.063,0.997,0.038
1659731173592,2022-08-05T15.26.13.592,0.439,-0.064,1.000,0.046
1659731173603,2022-08-05T15.26.13.603,0.450,-0.066,1.000,0.041
1659731173613,2022-08-05T15.26.13.613,0.460,-0.065,1.000,0.039
1659731173622,2022-08-05T15.26.13.622,0.469,-0.066,1.000,0.038
1659731173632,2022-08-05T15.26.13.632,0.479,-0.065,0.998,0.039
1659731173642,2022-08-05T15.26.13.642,0.489,-0.065,0.996,0.039
1659731173652,2022-08-05T15.26.13.652,0.499,-0.068,0.995,0.038
1659731173663,2022-08-05T15.26.13.663,0.510,-0.071,0.995,0.039
1659731173671,2022-08-05T15.26.13.671,0.518,-0.068,0.994,0.038
1659731173682,2022-08-05T15.26.13.682,0.529,-0.065,0.993,0.038
1659731173692,2022-08-05T15.26.13.692,0.539,-0.068,0.997,0.037
1659731173702,2022-08-05T15.26.13.702,0.549,-0.066,0.996,0.037
1659731173712,2022-08-05T15.26.13.712,0.559,-0.067,0.994,0.039
1659731173723,2022-08-05T15.26.13.723,0.570,-0.066,0.996,0.038
1659731173732,2022-08-05T15.26.13.732,0.579,-0.065,0.998,0.041
1659731173742,2022-08-05T15.26.13.742,0.589,-0.068,0.998,0.036
1659731173752,2022-08-05T15.26.13.752,0.599,-0.069,1.000,0.037
1659731173762,2022-08-05T15.26.13.762,0.609,-0.065,0.999,0.037
1659731173773,2022-08-05T15.26.13.773,0.620,-0.066,0.996,0.038
1659731173781,2022-08-05T15.26.13.781,0.628,-0.066,0.997,0.041
1659731173792,2022-08-05T15.26.13.792,0.639,-0.066,0.999,0.040
1659731173802,2022-08-05T15.26.13.802,0.649,-0.067,1.000,0.039
1659731173812,2022-08-05T15.26.13.812,0.659,-0.064,0.998,0.037
1659731173822,2022-08-05T15.26.13.822,0.669,-0.062,0.998,0.039
1659731173831,2022-08-05T15.26.13.831,0.678,-0.062,0.997,0.036
1659731173841,2022-08-05T15.26.13.841,0.688,-0.064,0.996,0.040
1659731173852,2022-08-05T15.26.13.852,0.699,-0.064,0.998,0.042
1659731173862,2022-08-05T15.26.13.862,0.709,-0.068,0.995,0.039
1659731173872,2022-08-05T15.26.13.872,0.719,-0.066,0.997,0.038
1659731173882,2022-08-05T15.26.13.882,0.729,-0.068,0.996,0.040
1659731173891,2022-08-05T15.26.13.891,0.738,-0.065,0.996,0.038
1659731173901,2022-08-05T15.26.13.901,0.748,-0.063,0.999,0.035
1659731173912,2022-08-05T15.26.13.912,0.759,-0.066,0.998,0.036
1659731173922,2022-08-05T15.26.13.922,0.769,-0.066,0.996,0.038
1659731173932,2022-08-05T15.26.13.932,0.779,-0.065,0.996,0.037
1659731173941,2022-08-05T15.26.13.941,0.788,-0.065,0.997,0.037
1659731173951,2022-08-05T15.26.13.951,0.798,-0.068,0.998,0.037
1659731173962,2022-08-05T15.26.13.962,0.809,-0.068,0.999,0.038
1659731173972,2022-08-05T15.26.13.972,0.819,-0.069,0.999,0.036
1659731173982,2022-08-05T15.26.13.982,0.829,-0.068,1.000,0.039
1659731173991,2022-08-05T15.26.13.991,0.838,-0.068,0.997,0.036
1659731174001,2022-08-05T15.26.14.001,0.848,-0.066,0.996,0.038
1659731174011,2022-08-05T15.26.14.011,0.858,-0.068,0.996,0.036
1659731174022,2022-08-05T15.26.14.022,0.869,-0.071,1.000,0.037
1659731174032,2022-08-05T15.26.14.032,0.879,-0.070,1.001,0.038
1659731174042,2022-08-05T15.26.14.042,0.889,-0.071,0.999,0.039
1659731174051,2022-08-05T15.26.14.051,0.898,-0.071,0.997,0.039
1659731174061,2022-08-05T15.26.14.061,0.908,-0.069,0.999,0.039
1659731174071,2022-08-05T15.26.14.071,0.918,-0.071,0.999,0.040
1659731174082,2022-08-05T15.26.14.082,0.929,-0.068,0.998,0.040
1659731174092,2022-08-05T15.26.14.092,0.939,-0.067,0.998,0.041
1659731174101,2022-08-05T15.26.14.101,0.948,-0.067,0.997,0.037
1659731174111,2022-08-05T15.26.14.111,0.958,-0.066,0.999,0.037
1659731174121,2022-08-05T15.26.14.121,0.968,-0.065,0.998,0.042
1659731174131,2022-08-05T15.26.14.131,0.978,-0.066,0.998,0.038
1659731174142,2022-08-05T15.26.14.142,0.989,-0.063,1.000,0.037
1659731174150,2022-08-05T15.26.14.150,0.997,-0.062,1.000,0.040
1659731174161,2022-08-05T15.26.14.161,1.008,-0.064,0.999,0.038
1659731174171,2022-08-05T15.26.14.171,1.018,-0.067,0.998,0.040
1659731174181,2022-08-05T15.26.14.181,1.028,-0.067,0.998,0.040
1659731174191,2022-08-05T15.26.14.191,1.038,-0.067,1.002,0.039
1659731174202,2022-08-05T15.26.14.202,1.049,-0.068,1.003,0.040
1659731174211,2022-08-05T15.26.14.211,1.058,-0.067,1.001,0.038
1659731174221,2022-08-05T15.26.14.221,1.068,-0.071,0.998,0.039
1659731174231,2022-08-05T15.26.14.231,1.078,-0.071,0.995,0.039
1659731174241,2022-08-05T15.26.14.241,1.088,-0.071,0.995,0.034
1659731174252,2022-08-05T15.26.14.252,1.099,-0.069,0.996,0.037
1659731174260,2022-08-05T15.26.14.260,1.107,-0.068,0.997,0.040
1659731174271,2022-08-05T15.26.14.271,1.118,-0.069,0.994,0.040
1659731174281,2022-08-05T15.26.14.281,1.128,-0.067,0.997,0.040
1659731174291,2022-08-05T15.26.14.291,1.138,-0.066,0.997,0.039
1659731174301,2022-08-05T15.26.14.301,1.148,-0.067,0.996,0.039
1659731174310,2022-08-05T15.26.14.310,1.157,-0.065,1.000,0.039
1659731174320,2022-08-05T15.26.14.320,1.167,-0.065,1.000,0.036
1659731174331,2022-08-05T15.26.14.331,1.178,-0.062,0.998,0.038
1659731174341,2022-08-05T15.26.14.341,1.188,-0.065,0.994,0.036
1659731174351,2022-08-05T15.26.14.351,1.198,-0.068,0.995,0.038
1659731174361,2022-08-05T15.26.14.361,1.208,-0.069,0.997,0.037
1659731174370,2022-08-05T15.26.14.370,1.217,-0.068,0.998,0.036
1659731174380,2022-08-05T15.26.14.380,1.227,-0.067,0.998,0.035
1659731174391,2022-08-05T15.26.14.391,1.238,-0.067,0.997,0.037
1659731174401,2022-08-05T15.26.14.401,1.248,-0.067,0.998,0.037
1659731174411,2022-08-05T15.26.14.411,1.258,-0.066,0.999,0.037
1659731174420,2022-08-05T15.26.14.420,1.267,-0.066,1.000,0.035
